id,customer_id,type,currency,balance,opened_at
1,54,SAVINGS,GBP,26893.45,2023-06-26 02:47:00+0000
2,28,CREDIT,GBP,39463.82,2023-06-22 13:30:00+0000
3,9,SAVINGS,EUR,13656.04,2023-05-26 19:47:00+0000
4,9,CHECKING,INR,32076.2,2023-12-29 09:52:00+0000
5,6,CREDIT,USD,43749.45,2024-01-07 18:21:00+0000
6,37,SAVINGS,USD,39417.51,2023-03-15 10:44:00+0000
7,7,SAVINGS,GBP,48770.63,2023-01-31 14:14:00+0000
8,40,CREDIT,INR,43802.08,2023-09-10 02:20:00+0000
9,50,CHECKING,GBP,3234.53,2023-08-29 06:49:00+0000
10,21,CREDIT,GBP,23908.85,2023-04-19 17:46:00+0000
11,20,CREDIT,EUR,42406.25,2023-09-15 19:40:00+0000
12,18,SAVINGS,INR,7913.47,2023-04-07 16:42:00+0000
13,41,CHECKING,INR,39694.0,2023-05-02 14:52:00+0000
14,20,CHECKING,EUR,45207.44,2023-03-03 04:00:00+0000
15,56,SAVINGS,USD,33853.89,2023-01-15 01:53:00+0000
16,21,CREDIT,INR,23627.56,2023-06-10 04:59:00+0000
17,45,CREDIT,EUR,43936.07,2023-04-19 12:27:00+0000
18,29,SAVINGS,EUR,10149.8,2023-05-17 16:06:00+0000
19,48,CREDIT,USD,10949.93,2023-09-27 21:09:00+0000
20,21,CHECKING,INR,19008.18,2023-06-23 19:39:00+0000
21,7,CHECKING,EUR,6206.16,2023-10-01 16:30:00+0000
22,22,CHECKING,GBP,19593.24,2023-09-20 04:23:00+0000
23,35,CREDIT,INR,15204.83,2023-01-05 20:03:00+0000
24,29,CHECKING,USD,42715.29,2023-09-01 12:28:00+0000
25,42,SAVINGS,GBP,13561.08,2023-09-22 15:43:00+0000
26,29,CHECKING,EUR,15175.22,2023-02-02 15:30:00+0000
27,3,CHECKING,INR,863.39,2023-04-23 03:36:00+0000
28,55,SAVINGS,INR,39424.76,2023-04-18 03:06:00+0000
29,25,SAVINGS,USD,5068.77,2023-08-20 19:49:00+0000
30,57,CHECKING,GBP,33808.59,2023-01-31 17:22:00+0000
31,10,SAVINGS,EUR,40920.22,2023-09-12 08:33:00+0000
