id,account_id,ts,amount,kind,description
1,1,2023-11-25 03:33:00+0000,527.28,INTEREST,POS
2,1,2023-07-17 11:38:00+0000,906.89,INTEREST,Payroll
3,1,2023-12-05 19:05:00+0000,-1131.2,FEE,Payroll
4,2,2023-02-03 14:54:00+0000,-1970.07,FEE,ATM
5,2,2023-09-27 19:17:00+0000,-347.62,DEBIT,Payroll
6,3,2023-05-03 09:48:00+0000,-368.65,FEE,Subscription
7,4,2023-07-24 07:36:00+0000,924.18,CREDIT,Payroll
8,4,2023-11-11 01:59:00+0000,739.01,INTEREST,Subscription
9,4,2024-01-04 20:16:00+0000,-908.81,FEE,Transfer
10,4,2023-05-11 05:54:00+0000,-1004.4,FEE,Transfer
11,4,2023-03-01 11:51:00+0000,1229.62,CREDIT,Payroll
12,4,2023-09-21 04:32:00+0000,339.27,INTEREST,POS
13,4,2023-03-07 19:15:00+0000,864.25,INTEREST,Subscription
14,5,2023-08-16 13:54:00+0000,126.45,INTEREST,Subscription
15,6,2023-12-10 02:32:00+0000,631.37,INTEREST,Transfer
16,6,2023-06-06 17:41:00+0000,1397.95,CREDIT,ATM
17,6,2023-04-06 02:39:00+0000,-1934.13,DEBIT,Subscription
18,6,2023-10-15 19:16:00+0000,-210.6,FEE,Transfer
19,6,2023-02-10 22:42:00+0000,985.36,INTEREST,Subscription
20,6,2023-02-26 20:33:00+0000,-1425.81,DEBIT,POS
21,6,2023-08-15 18:40:00+0000,-1411.72,FEE,ATM
22,6,2023-10-07 10:31:00+0000,-1559.13,DEBIT,ATM
23,7,2023-02-04 11:53:00+0000,686.39,CREDIT,POS
24,7,2023-11-27 21:13:00+0000,-627.87,DEBIT,Payroll
25,8,2023-03-29 21:19:00+0000,-1354.03,FEE,Payroll
26,9,2023-11-17 20:34:00+0000,-670.09,FEE,POS
27,9,2023-06-13 00:47:00+0000,831.3,INTEREST,Transfer
28,9,2023-08-14 09:17:00+0000,853.26,CREDIT,Payroll
29,9,2023-09-21 02:44:00+0000,717.91,CREDIT,ATM
30,9,2023-04-02 02:34:00+0000,1977.29,CREDIT,Payroll
31,9,2023-08-13 11:24:00+0000,-531.47,DEBIT,Payroll
32,9,2023-12-28 23:43:00+0000,1636.97,CREDIT,POS
33,9,2023-03-06 02:31:00+0000,1884.72,CREDIT,Subscription
34,10,2024-01-07 03:09:00+0000,-284.7,DEBIT,Subscription
35,10,2023-02-24 07:54:00+0000,1367.43,CREDIT,Payroll
36,10,2023-09-04 12:55:00+0000,283.5,CREDIT,POS
37,10,2023-02-06 02:38:00+0000,-1874.72,FEE,Transfer
38,10,2023-05-27 23:41:00+0000,225.71,INTEREST,Subscription
39,11,2023-02-03 15:32:00+0000,550.98,CREDIT,Subscription
40,11,2023-05-09 05:21:00+0000,1292.32,CREDIT,ATM
