id,order_id,product_id,quantity,unit_price
1,1,71,3,462.85
2,2,536,4,465.53
3,2,451,4,449.98
4,3,464,3,367.98
5,3,488,1,153.34
6,3,556,3,194.4
7,3,357,1,490.94
8,3,498,4,261.4
9,4,165,3,361.12
10,4,377,2,233.07
11,5,498,2,261.4
12,6,61,1,292.08
13,7,450,4,19.11
14,7,522,4,435.41
15,7,290,4,46.89
16,8,303,1,194.48
17,8,64,1,393.3
18,9,210,1,477.01
19,10,461,3,58.01
20,10,125,4,486.44
21,10,353,4,277.15
22,11,66,3,65.93
23,12,172,4,438.64
24,12,595,1,36.94
25,12,66,4,65.93
26,12,202,1,291.29
27,12,322,3,192.89
28,13,315,2,153.03
29,13,330,1,299.69
30,13,23,3,471.59
31,13,184,2,38.36
32,13,415,1,221.05
33,14,522,2,435.41
34,14,229,3,144.68
35,14,88,4,259.93
36,14,355,2,409.1
37,15,483,2,230.83
38,15,569,4,168.23
39,15,192,2,179.8
40,16,461,2,58.01
41,16,362,1,429.65
42,17,429,2,357.5
43,17,450,2,19.11
44,17,421,4,448.27
45,17,470,2,176.81
46,17,23,2,471.59
47,18,307,1,297.3
48,18,233,1,428.19
49,19,192,3,179.8
50,19,73,3,447.92
51,19,282,1,459.28
52,19,406,4,74.26
53,19,206,4,165.6
54,20,188,1,244.69
55,21,49,4,300.5
56,21,168,1,281.96
57,21,249,2,357.18
58,22,147,4,19.48
59,22,560,3,273.18
60,22,315,1,153.03
61,23,39,3,457.54
62,23,92,1,469.78
63,23,229,2,144.68
64,23,505,4,139.78
65,24,114,2,452.77
66,24,239,2,453.57
67,24,325,4,101.42
68,24,368,3,347.02
69,25,47,4,239.54
70,25,275,2,496.43
71,25,156,1,152.67
72,25,56,4,160.04
73,25,221,2,318.0
74,26,449,2,5.39
75,26,68,1,451.07
76,26,420,2,446.44
77,27,421,1,448.27
78,27,557,3,232.28
79,27,240,1,49.22
80,27,397,3,273.34
81,27,131,2,194.7
82,28,130,1,115.95
83,29,57,3,390.95
84,30,239,2,453.57
85,31,217,4,235.35
86,31,575,2,91.49
87,31,456,2,103.55
88,32,119,3,17.68
89,32,330,2,299.69
90,33,136,2,433.87
91,33,425,3,81.94
92,33,457,4,476.22
93,33,357,2,490.94
94,34,222,2,289.81
95,34,8,3,429.64
96,34,320,4,153.73
97,34,510,4,116.29
98,35,46,2,417.17
99,35,418,3,66.32
100,35,560,4,273.18
101,36,39,1,457.54
102,36,362,1,429.65
103,37,529,4,475.41
104,37,84,4,332.29
105,37,455,2,389.42
106,37,564,2,280.36
107,37,68,1,451.07
108,38,304,3,254.06
109,38,441,1,116.75
110,38,268,2,495.42
111,38,527,4,448.9
112,38,2,2,373.27
113,39,396,4,239.59
114,39,113,2,235.39
115,39,299,1,168.74
116,40,97,2,204.0
117,40,31,4,391.29
118,41,222,1,289.81
119,41,113,3,235.39
120,41,202,1,291.29
121,41,500,2,290.54
122,41,404,2,93.75
123,42,80,4,14.62
124,42,295,3,277.27
125,42,348,1,436.39
126,42,104,1,451.24
