id,sku,name,category,price,in_stock
1,SKU-00001,Eco Mug,Books,468.04,True
2,SKU-00002,Mini Charger,Grocery,373.27,True
3,SKU-00003,Pro Gadget,Apparel,6.3,True
4,SKU-00004,Compact Mug,Toys,356.75,True
5,SKU-00005,Mini Charger,Toys,21.39,True
6,SKU-00006,Eco Bottle,Books,27.54,True
7,SKU-00007,Deluxe Bottle,Toys,102.12,False
8,SKU-00008,Mini Gadget,Toys,429.64,True
9,SKU-00009,Compact Charger,Apparel,345.49,True
10,SKU-00010,Pro Bottle,Apparel,188.9,True
11,SKU-00011,Eco Lamp,Books,476.71,True
12,SKU-00012,Compact Charger,Home,378.42,True
13,SKU-00013,Compact Widget,Books,463.94,True
14,SKU-00014,Pro Gadget,Toys,318.71,True
15,SKU-00015,Mini Lamp,Home,198.66,False
16,SKU-00016,Deluxe Widget,Electronics,50.23,True
17,SKU-00017,Deluxe Bottle,Books,24.92,True
18,SKU-00018,Pro Charger,Home,133.89,False
19,SKU-00019,Pro Charger,Books,419.5,True
20,SKU-00020,Ultra Charger,Books,479.58,True
21,SKU-00021,Ultra Widget,Toys,263.56,True
22,SKU-00022,Eco Lamp,Apparel,273.29,True
23,SKU-00023,Compact Widget,Toys,471.59,True
24,SKU-00024,Compact Bottle,Toys,237.06,True
25,SKU-00025,Deluxe Bottle,Books,345.16,True
26,SKU-00026,Ultra Lamp,Apparel,273.09,False
27,SKU-00027,Deluxe Mug,Grocery,473.48,True
28,SKU-00028,Ultra Mug,Electronics,26.92,True
29,SKU-00029,Deluxe Widget,Electronics,126.31,True
30,SKU-00030,Mini Charger,Home,141.95,True
31,SKU-00031,Compact Widget,Electronics,391.29,True
32,SKU-00032,Mini Mug,Toys,187.46,True
33,SKU-00033,Mini Gadget,Home,68.87,True
34,SKU-00034,Mini Gadget,Apparel,343.06,False
35,SKU-00035,Deluxe Mug,Apparel,471.42,True
36,SKU-00036,Mini Mug,Grocery,221.06,True
37,SKU-00037,Pro Lamp,Home,213.1,False
38,SKU-00038,Eco Widget,Electronics,140.2,True
39,SKU-00039,Deluxe Charger,Books,457.54,True
40,SKU-00040,Ultra Gadget,Grocery,254.87,True
41,SKU-00041,Ultra Lamp,Grocery,165.49,False
42,SKU-00042,Eco Gadget,Grocery,414.86,True
43,SKU-00043,Pro Charger,Books,293.07,True
44,SKU-00044,Ultra Widget,Electronics,433.14,False
45,SKU-00045,Mini Bottle,Books,224.62,False
46,SKU-00046,Eco Charger,Home,417.17,True
47,SKU-00047,Compact Charger,Home,239.54,True
48,SKU-00048,Mini Bottle,Books,337.56,True
49,SKU-00049,Eco Widget,Electronics,300.5,True
50,SKU-00050,Ultra Bottle,Apparel,122.25,True
51,SKU-00051,Eco Charger,Apparel,321.3,True
52,SKU-00052,Compact Gadget,Apparel,315.25,True
53,SKU-00053,Mini Bottle,Apparel,239.83,False
54,SKU-00054,Eco Charger,Books,122.73,True
55,SKU-00055,Eco Lamp,Apparel,116.16,True
56,SKU-00056,Ultra Charger,Home,160.04,True
57,SKU-00057,Eco Mug,Apparel,390.95,True
58,SKU-00058,Compact Gadget,Grocery,410.8,True
59,SKU-00059,Ultra Lamp,Grocery,164.78,True
60,SKU-00060,Deluxe Gadget,Electronics,243.79,True
61,SKU-00061,Deluxe Bottle,Grocery,292.08,True
62,SKU-00062,Compact Mug,Toys,104.51,True
63,SKU-00063,Deluxe Widget,Apparel,28.87,True
