SendID,SubscriberKey,EventDate,IsUnique
1,L3029,2023-10-01 02:31:00+0000,1
1,L467,2023-03-10 07:23:00+0000,1
1,L3099,2023-09-17 20:50:00+0000,1
1,L1625,2023-09-29 23:08:00+0000,1
1,L2485,2023-02-18 00:26:00+0000,1
1,L3859,2023-01-15 01:01:00+0000,1
1,L2550,2023-11-01 04:48:00+0000,1
1,L2951,2023-02-10 08:31:00+0000,1
1,L2998,2024-01-13 23:29:00+0000,1
1,L409,2023-04-30 02:56:00+0000,1
1,L2642,2023-05-06 13:34:00+0000,1
1,L3512,2023-11-13 20:01:00+0000,1
1,L3844,2023-09-19 13:26:00+0000,1
1,L3677,2023-12-22 17:50:00+0000,1
1,L2055,2023-03-04 19:11:00+0000,1
1,L3175,2023-12-15 12:05:00+0000,1
1,L1580,2023-03-17 23:02:00+0000,1
1,L3389,2023-02-16 22:00:00+0000,1
1,L2469,2023-07-06 08:39:00+0000,1
1,L2006,2023-08-05 11:06:00+0000,1
1,L59,2023-02-18 20:50:00+0000,1
1,L376,2024-01-09 14:05:00+0000,1
1,L1245,2023-09-15 17:16:00+0000,1
1,L1014,2023-06-02 19:41:00+0000,1
1,L186,2023-02-18 19:23:00+0000,1
1,L2595,2024-01-13 04:11:00+0000,1
1,L2851,2023-05-02 00:24:00+0000,1
1,L2491,2023-06-29 17:05:00+0000,1
1,L1678,2023-09-14 22:20:00+0000,1
1,L1556,2023-09-29 03:01:00+0000,1
1,L912,2023-03-23 13:12:00+0000,1
1,L1682,2023-06-20 18:54:00+0000,1
1,L210,2023-01-06 08:29:00+0000,1
2,L1958,2023-06-13 00:20:00+0000,1
2,L3590,2023-06-10 00:35:00+0000,1
2,L3478,2023-09-22 22:39:00+0000,1
2,L1609,2023-03-20 08:01:00+0000,1
2,L2356,2023-05-22 11:56:00+0000,1
2,L209,2023-10-05 10:58:00+0000,1
2,L3226,2023-05-02 16:40:00+0000,1
2,L1998,2023-08-30 22:01:00+0000,1
2,L191,2023-02-20 09:56:00+0000,1
2,L2023,2023-07-18 17:04:00+0000,1
2,L2197,2023-09-04 03:57:00+0000,1
2,L3530,2023-09-08 09:53:00+0000,1
2,L3528,2023-06-16 21:41:00+0000,1
2,L843,2023-08-19 05:12:00+0000,1
2,L3413,2023-10-29 15:50:00+0000,1
2,L305,2023-05-06 13:31:00+0000,1
2,L168,2023-07-20 20:00:00+0000,1
2,L3086,2023-10-08 21:38:00+0000,1
2,L1957,2023-01-27 06:22:00+0000,1
2,L3537,2023-03-30 23:45:00+0000,1
2,L3525,2023-11-29 02:00:00+0000,1
2,L2504,2023-08-02 16:58:00+0000,1
2,L3044,2023-02-21 14:42:00+0000,1
2,L2377,2023-10-19 17:14:00+0000,1
2,L3288,2023-05-19 08:49:00+0000,1
2,L1320,2023-02-06 17:58:00+0000,1
2,L434,2023-06-11 15:35:00+0000,1
2,L475,2023-02-23 03:15:00+0000,1
2,L2671,2023-03-20 22:37:00+0000,1
3,L1271,2023-07-10 07:37:00+0000,1
3,L2576,2023-03-10 03:35:00+0000,1
3,L2170,2024-01-02 22:27:00+0000,1
3,L3983,2023-10-12 18:09:00+0000,1
3,L1485,2023-05-18 21:55:00+0000,1
3,L3435,2023-08-12 10:57:00+0000,1
3,L1720,2023-01-26 13:43:00+0000,1
