SendID,SubscriberKey,EventDate
1,L88,2023-04-20 23:10:00+0000
1,L178,2023-05-15 00:23:00+0000
1,L117,2023-12-27 08:37:00+0000
1,L108,2023-07-19 23:48:00+0000
1,L43,2023-03-21 08:36:00+0000
1,L82,2023-06-03 17:14:00+0000
1,L18,2023-05-03 05:27:00+0000
1,L94,2023-01-14 08:23:00+0000
1,L77,2023-01-11 00:10:00+0000
1,L159,2023-08-31 05:45:00+0000
1,L99,2023-04-18 11:18:00+0000
1,L192,2023-10-15 03:16:00+0000
1,L154,2023-04-15 14:26:00+0000
1,L196,2023-01-06 09:21:00+0000
1,L106,2023-03-27 02:29:00+0000
1,L11,2023-01-15 18:09:00+0000
1,L42,2023-03-27 23:29:00+0000
1,L40,2023-09-21 17:23:00+0000
1,L182,2023-04-11 20:40:00+0000
1,L198,2023-02-01 17:53:00+0000
1,L1,2023-11-19 14:10:00+0000
1,L151,2023-12-01 07:38:00+0000
1,L147,2023-09-15 14:04:00+0000
1,L65,2023-09-11 22:07:00+0000
1,L138,2023-01-17 07:36:00+0000
1,L84,2023-05-07 07:01:00+0000
1,L2,2023-01-02 21:46:00+0000
1,L56,2024-01-22 18:28:00+0000
1,L119,2023-08-09 18:25:00+0000
1,L66,2023-06-05 21:09:00+0000
1,L3,2023-04-06 00:00:00+0000
1,L163,2023-01-05 18:20:00+0000
1,L67,2023-12-08 09:28:00+0000
1,L79,2023-08-10 17:38:00+0000
1,L161,2023-09-20 18:26:00+0000
1,L187,2024-01-11 09:21:00+0000
1,L21,2023-01-23 20:14:00+0000
1,L191,2023-06-02 23:15:00+0000
1,L9,2023-07-12 00:11:00+0000
1,L69,2023-12-29 05:20:00+0000
2,L2,2023-11-09 04:35:00+0000
2,L191,2023-01-02 21:14:00+0000
2,L37,2023-10-27 13:07:00+0000
2,L125,2023-10-20 02:14:00+0000
2,L136,2023-11-05 02:26:00+0000
2,L51,2023-03-16 02:19:00+0000
2,L80,2024-01-30 22:50:00+0000
2,L43,2023-12-08 17:05:00+0000
2,L174,2023-08-02 04:46:00+0000
2,L64,2023-05-22 07:08:00+0000
2,L40,2023-03-25 09:09:00+0000
2,L65,2023-11-20 18:11:00+0000
2,L157,2023-08-24 23:24:00+0000
2,L112,2024-01-12 23:48:00+0000
2,L171,2023-10-15 06:34:00+0000
2,L119,2023-11-21 10:37:00+0000
2,L193,2024-01-06 06:04:00+0000
2,L38,2023-03-13 16:38:00+0000
2,L195,2023-12-31 11:37:00+0000
2,L49,2023-07-01 15:45:00+0000
2,L23,2023-04-01 09:33:00+0000
2,L79,2023-04-19 20:14:00+0000
2,L115,2023-10-27 09:34:00+0000
2,L141,2023-08-02 12:39:00+0000
2,L63,2023-03-21 00:39:00+0000
2,L143,2023-07-19 05:32:00+0000
2,L25,2023-03-16 00:38:00+0000
2,L13,2023-03-16 23:46:00+0000
2,L100,2023-01-07 17:05:00+0000
2,L127,2023-08-16 07:28:00+0000
2,L74,2023-05-19 02:29:00+0000
2,L14,2023-06-21 13:06:00+0000
2,L162,2023-11-17 17:20:00+0000
2,L180,2023-05-24 01:18:00+0000
2,L69,2023-07-08 15:39:00+0000
2,L81,2023-08-19 17:06:00+0000
2,L67,2023-12-18 14:36:00+0000
2,L41,2023-12-31 19:19:00+0000
2,L88,2023-07-01 09:50:00+0000
2,L176,2023-07-29 18:28:00+0000
2,L46,2023-05-31 13:46:00+0000
2,L183,2023-12-14 02:10:00+0000
2,L50,2023-11-14 19:54:00+0000
2,L182,2023-11-13 04:09:00+0000
2,L20,2024-01-17 12:16:00+0000
2,L97,2023-05-26 22:45:00+0000
2,L96,2023-10-16 19:53:00+0000
2,L179,2023-02-13 14:49:00+0000
3,L68,2023-10-01 03:36:00+0000
3,L73,2023-05-15 17:23:00+0000
3,L45,2023-12-21 02:47:00+0000
3,L33,2023-12-30 13:13:00+0000
3,L116,2023-12-04 18:34:00+0000
3,L133,2023-09-15 17:56:00+0000
3,L190,2023-01-31 13:46:00+0000
3,L163,2023-03-08 22:50:00+0000
3,L118,2023-12-08 23:12:00+0000
3,L111,2023-09-03 03:01:00+0000
3,L27,2024-01-13 19:36:00+0000
3,L167,2023-08-02 02:17:00+0000
3,L29,2023-08-07 09:44:00+0000
3,L1,2023-07-13 14:07:00+0000
3,L121,2024-02-04 08:47:00+0000
3,L31,2023-11-16 14:06:00+0000
3,L9,2023-10-27 01:22:00+0000
3,L165,2023-01-21 23:10:00+0000
3,L126,2024-01-14 13:03:00+0000
3,L101,2023-04-02 08:35:00+0000
3,L84,2023-10-19 10:11:00+0000
3,L50,2023-05-07 16:42:00+0000
3,L147,2023-05-25 14:26:00+0000
3,L105,2023-02-17 10:33:00+0000
3,L199,2023-01-27 02:32:00+0000
3,L46,2023-05-11 16:33:00+0000
3,L197,2023-01-24 10:41:00+0000
3,L129,2023-03-17 18:32:00+0000
3,L184,2023-11-30 14:43:00+0000
3,L81,2023-07-12 09:11:00+0000
3,L109,2023-10-25 12:52:00+0000
3,L142,2023-02-17 10:17:00+0000
3,L122,2023-06-13 19:42:00+0000
4,L78,2023-04-15 23:45:00+0000
4,L113,2023-08-29 12:04:00+0000
4,L69,2023-01-22 03:55:00+0000
4,L54,2023-06-08 01:15:00+0000
4,L110,2023-11-23 04:58:00+0000
4,L17,2023-11-03 07:09:00+0000
4,L142,2023-08-02 06:02:00+0000
4,L104,2023-07-25 23:54:00+0000
4,L49,2023-11-08 11:09:00+0000
4,L18,2023-02-01 16:10:00+0000
4,L23,2023-10-30 19:12:00+0000
4,L135,2023-12-14 10:56:00+0000
4,L30,2023-09-01 02:17:00+0000
4,L123,2024-01-14 13:28:00+0000
4,L28,2023-12-06 19:10:00+0000
4,L48,2024-01-11 23:14:00+0000
4,L177,2023-05-15 10:24:00+0000
4,L47,2023-07-04 15:25:00+0000
4,L106,2023-08-11 20:50:00+0000
4,L73,2024-01-01 17:53:00+0000
4,L149,2023-04-26 07:56:00+0000
4,L100,2023-10-24 15:48:00+0000
4,L26,2023-08-22 22:24:00+0000
4,L14,2023-03-27 11:58:00+0000
4,L61,2023-03-12 21:39:00+0000
4,L155,2023-11-17 12:36:00+0000
4,L111,2023-12-21 21:19:00+0000
4,L71,2024-01-29 18:11:00+0000
4,L12,2024-01-24 20:12:00+0000
4,L186,2023-04-13 03:29:00+0000
4,L141,2023-10-03 16:07:00+0000
4,L6,2023-10-06 14:16:00+0000
4,L24,2023-05-09 09:41:00+0000
4,L51,2023-09-22 14:52:00+0000
4,L27,2024-01-23 10:53:00+0000
5,L89,2023-01-11 17:53:00+0000
5,L34,2023-09-21 17:46:00+0000
5,L128,2023-12-26 13:41:00+0000
5,L37,2023-09-04 06:40:00+0000
5,L188,2023-06-24 00:16:00+0000
5,L181,2023-07-13 20:29:00+0000
5,L166,2023-04-20 22:52:00+0000
5,L68,2023-09-15 10:20:00+0000
5,L5,2023-06-02 19:00:00+0000
5,L9,2023-09-27 10:22:00+0000
5,L153,2023-06-06 15:24:00+0000
5,L28,2023-05-15 04:59:00+0000
5,L49,2023-05-03 03:22:00+0000
5,L143,2023-05-23 01:46:00+0000
5,L200,2023-01-18 18:01:00+0000
5,L98,2024-01-25 22:05:00+0000
5,L179,2023-03-09 18:22:00+0000
5,L171,2023-01-08 11:52:00+0000
5,L76,2023-07-17 03:04:00+0000
5,L158,2023-10-27 07:51:00+0000
5,L194,2023-03-22 00:54:00+0000
5,L113,2023-02-08 02:00:00+0000
5,L122,2023-07-12 15:56:00+0000
5,L175,2023-10-24 06:38:00+0000
5,L187,2023-01-26 22:08:00+0000
5,L65,2023-08-08 15:59:00+0000
5,L69,2023-01-14 04:19:00+0000
5,L4,2023-01-01 07:10:00+0000
5,L80,2023-05-29 00:31:00+0000
5,L85,2023-03-04 23:35:00+0000
5,L160,2024-01-07 13:21:00+0000
5,L110,2023-12-02 09:21:00+0000
5,L168,2023-12-06 23:25:00+0000
5,L157,2023-09-23 04:24:00+0000
5,L176,2023-04-06 17:02:00+0000
5,L123,2023-12-17 12:08:00+0000
5,L159,2023-11-18 01:36:00+0000
