SendID,SubscriberKey,EventDate
1,L94,2023-05-09 21:35:00+0000
2,L65,2023-05-07 19:49:00+0000
2,L46,2023-02-23 13:57:00+0000
3,L45,2024-01-18 12:52:00+0000
3,L116,2023-01-01 21:16:00+0000
3,L46,2024-01-21 06:20:00+0000
4,L113,2023-12-01 21:05:00+0000
4,L61,2023-03-11 03:00:00+0000
5,L122,2023-08-12 07:07:00+0000
5,L65,2023-06-09 00:58:00+0000
6,L143,2023-10-22 15:37:00+0000
6,L107,2023-05-26 14:50:00+0000
8,L81,2024-02-03 23:39:00+0000
8,L180,2023-06-12 06:34:00+0000
9,L174,2023-03-14 04:07:00+0000
10,L67,2023-07-22 06:57:00+0000
10,L47,2023-04-02 08:44:00+0000
10,L111,2023-03-05 19:32:00+0000
10,L3,2023-08-05 15:24:00+0000
11,L141,2023-06-23 04:21:00+0000
11,L14,2024-01-02 10:12:00+0000
11,L41,2023-12-10 11:05:00+0000
12,L196,2023-06-03 14:05:00+0000
12,L102,2023-03-09 13:29:00+0000
12,L119,2023-06-22 21:29:00+0000
12,L18,2023-07-29 04:19:00+0000
13,L91,2023-11-06 16:30:00+0000
14,L164,2023-11-25 07:17:00+0000
14,L112,2023-05-12 11:59:00+0000
16,L186,2023-01-29 23:05:00+0000
16,L54,2023-12-22 01:03:00+0000
16,L142,2023-04-20 18:51:00+0000
17,L136,2024-01-20 20:19:00+0000
17,L118,2023-05-16 04:49:00+0000
17,L73,2023-08-27 21:59:00+0000
17,L130,2023-08-30 17:06:00+0000
18,L186,2023-12-14 06:50:00+0000
18,L20,2023-08-26 06:33:00+0000
20,L69,2024-01-11 17:41:00+0000
20,L103,2023-07-23 19:46:00+0000
20,L4,2023-04-21 22:31:00+0000
